#,項目カテゴリ,項目名,詳細,回答形式,必須/任意,備考
1,基本情報,正式名称,会社名、ブランド名、サービス名など,株Seagull Company (Kamokoto Kitchen),必須,英語表記の有無も確認。正式名称として使用
2,基本情報,所在地・連絡先,事業所の住所、電話番号、代表メールアドレスなど,251-0035神奈川県藤沢市片瀬3-15-11,必須,地図表示や問い合わせ先として必要
3,基本情報,営業時間・対応時間,通常の営業・対応時間、受付時間など,11:30~14:30/17:00~21:30,必須,曜日ごとの変動も記載
4,基本情報,定休日・休業日,不定休の場合はその旨や、休業日、対応不可な期間など,火曜定休＋不定期,必須,
5,基本情報,アクセス方法・交通手段,最寄駅からの時間、駐車場情報、オンラインアクセス方法など,江ノ島1分、モノレール湘南江島　30秒　片瀬江ノ島駅7分,必須,複数拠点やオンラインサービスの場合はその旨記載
6,事業・サービスコンセプト,コンセプト,ターゲット層、提供したい価値、強みなど,黄色っぽい・秋の紅葉・薬膳・さつまいも色的なカラー・野菜や薬膳カラーで進めていく。・シラス屋さんから写真を入れることは可能なので,必須,全体のトーン＆マナーに影響
7,事業・サービスコンセプト,事業・サービス概要,メインの事業内容、サービスの特徴、こだわりなど,メインのカラーには水色にオレンジがっか・湘南スタイルの雑誌の方・江ノ島のお店であるからそちらに寄せてもいいし,必須,主要コンテンツの選定にも必要
8,デザイン・イメージ,希望する雰囲気,参考となるサイトURL、イメージカラー、キーワードなど,"https://www.umeboshi.in/komeda-shirocoppe/
https://loncafe.jp/
一枚もののページで済むように基本お任せ",必須,具体的な指示があると制作がスムーズ
9,デザイン・イメージ,ロゴデータ,"高解像度の画像ファイル（AI, EPS, PNGなど）",別途共有,必須,背景透過データが望ましい
10,デザイン・イメージ,イメージ写真・画像,事業所、商品、サービス、スタッフの写真など,別途共有,必須,プロ撮影のものが望ましい
11,提供情報,商品・サービス情報,全ての商品・サービス名と価格、詳細など,別途共有,必須,料金表や詳細資料のPDFでも可
12,提供情報,商品・サービス写真・画像,各商品やサービスの魅力的な写真・画像など,,必須,
13,機能要件,予約・申し込みシステムの有無,自社システム、外部サービス利用の有無と詳細,,任意,予約・申し込みURLの提供が必要
14,機能要件,お問い合わせフォームの有無,設置の有無、必要項目、自動返信の要否など,予約は電話にて,任意,受信メールアドレスの指定
15,機能要件,SNS連携,"連携したいSNSアカウント（Facebook, X, Instagramなど）",SNS、Instagram,任意,URLまたはアカウント名
16,コンテンツ,沿革・代表者紹介,企業や事業の歴史、代表者・担当者の紹介など,海の家も経営している。→そこも姉妹店として紹介している（しらすを扱っている）→HPのイメージに関しては,任意,ストーリー性のある文章が効果的
17,その他,ドメイン希望,取得希望ドメイン名、既存ドメインの有無など（有りの場合はログイン情報）,,必須,特に既存がなければ「なし」でOK
18,その他,納期希望,公開希望日、プロジェクト完了希望日など,年明けいつでも,必須,基本的な目安や期限
